"id","student_id","course_id","type","date","status","created_at","updated_at"
"1","9","1","lecture","2025-01-05","present","2025-03-12 12:23:00","2025-03-12 12:23:00"
"2","9","1","lecture","2025-01-12","present","2025-03-12 12:23:00","2025-03-12 12:23:00"
"3","9","1","lecture","2025-01-19","present","2025-03-12 12:23:00","2025-03-12 12:23:00"
"4","9","1","lecture","2025-01-26","present","2025-03-12 12:23:00","2025-03-12 12:23:00"
"5","9","1","lecture","2025-02-02","present","2025-03-12 12:23:00","2025-03-12 12:23:00"
"6","9","1","lecture","2025-02-09","present","2025-03-12 12:23:01","2025-03-12 12:23:01"
"7","9","1","lecture","2025-02-16","absent","2025-03-12 12:23:01","2025-03-12 12:23:01"
"8","9","1","lecture","2025-02-23","absent","2025-03-12 12:23:01","2025-03-12 12:23:01"
"9","9","1","lecture","2025-03-02","absent","2025-03-12 12:23:01","2025-03-12 12:23:01"
"10","9","1","lecture","2025-03-09","absent","2025-03-12 12:23:01","2025-03-12 12:23:01"
"11","9","1","lecture","2025-03-16","present","2025-03-12 12:23:01","2025-03-12 12:23:01"
"12","9","1","lecture","2025-03-23","absent","2025-03-12 12:23:01","2025-03-12 12:23:01"
"13","9","1","lecture","2025-03-30","present","2025-03-12 12:23:01","2025-03-12 12:23:01"
"14","9","1","lecture","2025-04-06","absent","2025-03-12 12:23:01","2025-03-12 12:23:01"
"15","9","1","lecture","2025-04-13","absent","2025-03-12 12:23:01","2025-03-12 12:23:01"
"16","9","1","lecture","2025-04-20","present","2025-03-12 12:23:01","2025-03-12 12:23:01"
"17","9","1","lab","2025-01-05","present","2025-03-12 12:23:01","2025-03-12 12:23:01"
"18","9","1","lab","2025-01-12","present","2025-03-12 12:23:01","2025-03-12 12:23:01"
"19","9","1","lab","2025-01-19","present","2025-03-12 12:23:01","2025-03-12 12:23:01"
"20","9","1","lab","2025-01-26","absent","2025-03-12 12:23:01","2025-03-12 12:23:01"
"21","9","1","lab","2025-02-02","absent","2025-03-12 12:23:01","2025-03-12 12:23:01"
"22","9","1","lab","2025-02-09","present","2025-03-12 12:23:01","2025-03-12 12:23:01"
"23","9","1","lab","2025-02-16","absent","2025-03-12 12:23:01","2025-03-12 12:23:01"
"24","9","1","lab","2025-02-23","present","2025-03-12 12:23:01","2025-03-12 12:23:01"
"25","9","1","lab","2025-03-02","present","2025-03-12 12:23:01","2025-03-12 12:23:01"
"26","9","1","lab","2025-03-09","present","2025-03-12 12:23:01","2025-03-12 12:23:01"
"27","9","1","lab","2025-03-16","present","2025-03-12 12:23:01","2025-03-12 12:23:01"
"28","9","1","lab","2025-03-23","present","2025-03-12 12:23:01","2025-03-12 12:23:01"
"29","9","1","lab","2025-03-30","absent","2025-03-12 12:23:01","2025-03-12 12:23:01"
"30","9","1","lab","2025-04-06","absent","2025-03-12 12:23:01","2025-03-12 12:23:01"
"31","9","1","lab","2025-04-13","present","2025-03-12 12:23:01","2025-03-12 12:23:01"
"32","9","1","lab","2025-04-20","present","2025-03-12 12:23:01","2025-03-12 12:23:01"
"33","9","2","lecture","2025-01-01","present","2025-03-12 12:23:01","2025-03-12 12:23:01"
"34","9","2","lecture","2025-01-08","absent","2025-03-12 12:23:02","2025-03-12 12:23:02"
"35","9","2","lecture","2025-01-15","present","2025-03-12 12:23:02","2025-03-12 12:23:02"
"36","9","2","lecture","2025-01-22","absent","2025-03-12 12:23:02","2025-03-12 12:23:02"
"37","9","2","lecture","2025-01-29","absent","2025-03-12 12:23:02","2025-03-12 12:23:02"
